,KIC,Teff,eTeff,age,loage,upage,modmass,lomodmass,upmodmass,feh,efeh,modlogg,upmodlogg,lomodlogg,nus*,l_nus*,u_nus*,i,l_i,u_i,P,l_P,u_P,flag,hrclass,source
65,9812850,6321,77,2.713,0.3513,0.4631,1.3683,0.0494,0.0399,-0.07,0.1,4.0535,0.0088,0.0077,1.5371599800998101,0.082763364077375,0.085001354985903,81.01071107808052,9.952882155359612,6.397043341493753,7.35957158829589,0.4634447009848989,0.44775446769115,0,H,L
66,9955598,5457,77,6.2902,1.8365,1.9483,0.899,0.0304,0.0399,0.05,0.1,4.4968,0.0055,0.0066,0.29237269671120003,0.038716726310010004,0.036427562878145,53.36478253127394,11.8693365362346,20.75851269840478,31.4140839375283,6.3646999057978,9.08369516042003,0,MS,L
67,9965715,5860,180,2.9206,0.7506,0.8624,1.2087,0.0494,0.0399,-0.44,0.18,4.2724,0.0088,0.0077,1.7471401060315201,0.049745771355809,0.047769297850906,58.32751320459662,3.236821445930109,3.5248846050429847,5.6246695678934,0.250115489472472,0.284941571484634,0,MS,L
68,10068307,6132,77,2.3616,0.0958,0.0798,1.469,0.0209,0.0095,-0.23,0.1,3.9666,0.0044,0.0044,0.707385207267226,0.033102752679123,0.031137548871265,41.652332140406585,4.132470640627258,5.979634767976895,10.869131732961199,1.12712985686992,1.5128421097499298,0,SG,L
69,10079226,5949,77,3.0643,0.6548,0.7027,1.1194,0.0304,0.019,0.11,0.1,4.3659,0.0055,0.0055,0.651434877736059,0.079304315516643,0.069156306449668,75.12413213972476,23.401752503686676,10.564574437008522,16.7892378522296,2.9830382354970895,2.24796615224099,1,MS,L
70,10162436,6146,77,2.4574,0.1118,0.0958,1.4481,0.0095,0.0209,-0.16,0.1,3.9809,0.0055,0.0055,0.8395884827289259,0.053835097561885994,0.049858107959939,25.47842790640999,1.8450968488107151,2.1128680758504137,5.8818838099613,0.3909029863821021,0.574150310998657,0,SG,L
71,10454113,6177,77,2.8886,0.527,0.5589999999999999,1.1688,0.0304,0.0209,-0.07,0.1,4.3142,0.0055,0.0055,0.757794454833303,0.071387191031209,0.07046950813374,40.87504288270456,9.581682359133538,26.88642907083796,10.0038422141186,2.53953718181038,4.830220506854309,0,MS,L
72,10514430,5784,98,7.84,0.91,0.4,1.0590000000000002,0.021,0.04,-0.11,0.11,4.061,0.004,0.004,0.176588608640745,0.046802603591295,0.053191860340024,57.20094898153603,32.005833057709495,23.514263675581333,53.555235074569,27.248587823305,23.592684377867897,1,MS,K
73,10516096,5964,77,7.0089,1.4533,1.3255,1.0586,0.0608,0.0494,-0.11,0.1,4.169,0.011000000000000001,0.0099,0.48181869188046395,0.026854533627289998,0.025527611921992995,71.7844279594112,16.164931137719144,12.51849797676541,22.624578655125898,3.0926104826803704,1.94093130820984,0,MS,L
74,10586004,5770,83,6.43,0.61,0.64,1.178,0.03,0.021,0.29,0.1,4.071000000000001,0.005,0.005,0.48422080329342604,0.168506651880746,0.16432154385281303,59.320342237172554,22.383220378913943,20.6498336064058,19.6031873584965,6.54395981643485,11.0828711603983,1,MS,K
75,10644253,6045,77,2.3936,0.9582,1.1179,1.0985,0.0399,0.0399,0.06,0.1,4.3956,0.0077,0.0066,0.24256745970335897,0.076364031997582,0.0838883340439,55.58745935693743,30.270400646374863,23.964121606623994,38.0052881394521,19.1239153369428,21.086233322378103,0,MS,L
76,10666592,6350,80,2.11,0.24,0.29,1.4969999999999999,0.04,0.042,0.26,0.08,4.0169999999999995,0.006999999999999999,0.009000000000000001,0.913349723576764,0.10602252943899301,0.10854771075807498,47.23263083121112,14.817353928318518,27.205275639391083,9.45050790052381,3.22172864521965,3.6111306631598996,0,H,K
77,10730618,6150,180,3.0483,0.2875,0.4631,1.3379,0.0494,0.0399,-0.11,0.18,4.0623,0.0066,0.0077,0.5586908737787211,0.2468947103782,0.228684450254473,55.62975309716167,26.178259938609365,23.729204320329384,16.086822972861302,7.23235456430357,13.9193604246821,0,MS,L
78,10963065,6140,77,7.1526,1.6130000000000002,1.9164,0.9883,0.0608,0.0608,-0.19,0.1,4.2768,0.011000000000000001,0.011000000000000001,0.668826772376505,0.028298417611374,0.026334222909548,41.83141006356203,3.572813205012254,4.675600905284783,11.5055853394364,0.9623404470768979,1.3247876573341297,0,MS,L
