,KIC,n,l,Freq,e_Freq,E_Freq,Amp,e_Amp,E_Amp,Width,e_Width,E_Width,l_lnK,lnK,source,f,f_e,g,g_e,A,A_e,H,H_e,flag
77,2837475,21,0,1660.12,0.37,0.39,3.82,0.11,0.13,5.73,0.58,0.63,>,6.0,L,1659.9296598706817,0.40463266461614755,6.538536961820687,0.3913038468607776,3.521816750235963,0.14642397131148382,1.2105950862179764,0.10735696224770486,
78,2837475,21,1,1695.67,0.33,0.31,,,,,,,>,6.0,L,1695.7931127032116,0.28009639602719427,7.056872987283139,0.39333391102160514,5.071382576413911,0.10081570135705284,2.324710484254045,0.141937835559965,
79,2837475,21,2,1731.72,1.11,1.32,,,,,,,>,6.0,L,1732.4541892196817,0.6380047437200889,7.403484031540463,0.4928115969607497,3.6813544164057967,0.1525937489645598,1.1662443552375916,0.12955880819985166,
80,2837475,22,0,1734.45,0.6,0.6,3.83,0.13,0.12,6.58,0.65,0.69,>,6.0,L,1734.6265469842206,0.5821490170727885,7.5181722838143745,0.48312062351035656,3.3244836035476846,0.1644547723930564,0.9361618888253211,0.09282328935817459,
81,2837475,22,1,1771.58,0.36,0.36,,,,,,,>,6.0,L,1771.2567802165977,0.29305537795875425,7.555875740931485,0.45317246893619945,4.827713265635584,0.0980741718611202,1.9625004055614887,0.1271397687399349,
82,2837475,22,2,1806.7,1.58,1.43,,,,,,,>,6.0,L,1808.3846141875933,0.8090331634719784,7.6289673028303016,0.5112052439483573,3.20952694816797,0.14650380727999146,0.8596844353554343,0.10010821709396299,
83,2837475,23,0,1810.87,0.61,0.64,3.44,0.14,0.1,8.17,0.66,1.24,>,6.0,L,1810.3301817240226,0.6284040249979247,7.727018736430141,0.49734865395551736,3.006653984092081,0.1532860985548037,0.7456334758120922,0.07611279854466144,
84,2837475,23,1,1845.76,0.42,0.4,,,,,,,>,6.0,L,1846.6846728824883,0.32761834306175314,7.689036304469371,0.464820263226497,4.421282566360777,0.0980995988569833,1.6201779670793175,0.10743598001836376,
85,2837475,23,2,1882.59,1.54,2.11,,,,,,,>,6.0,L,1883.5998316960718,0.8537111395350385,7.866276528649152,0.5152124705112343,2.9685164221256812,0.1440951194066473,0.7142718462637708,0.08636099220767,
86,2837475,24,0,1886.75,0.73,0.65,2.96,0.12,0.1,6.79,0.75,0.92,>,6.0,L,1886.5216330784306,0.5940734443052466,7.916669571385109,0.5103541224310292,2.8269240983789294,0.14506760015644807,0.642530735947229,0.06856984937125153,
87,2837475,24,1,1922.74,0.51,0.53,,,,,,,,5.39,L,1923.0958055104657,0.40895695599880477,8.191841272123176,0.5450769656353142,3.721640537567534,0.0986008196263181,1.0754622394705002,0.08120217061331723,
88,2837475,24,2,1960.41,2.02,1.79,,,,,,,>,6.0,L,1962.5334547810537,1.1609653476868282,8.593660149066551,0.6360366722185318,2.642686814300135,0.14493941868355537,0.5165327638043085,0.06973105509144184,
