,KIC,Teff,age,dnu,eTeff,ednu,efeh,enumax,evsini,feh,loage,lomodlogg,lomodmass,lomodrad,modlogg,modmass,modrad,numax,source,upage,upmodlogg,upmodmass,upmodrad,vsini,G,bprp
76,6521045,5825,6.5,77.0,75,1.1,0.1,31.0,0.5,0.02,0.56,0.004,0.019,0.012,4.125,1.108,1.513,1502.0,K,0.46,0.004,0.021,0.009,2.9,11.12934,0.8210907
77,7670943,6463,2.78,88.6,110,1.3,0.11,73.0,0.6,0.09,0.51,0.008,0.051,0.021,4.228,1.239,1.417,1895.0,K,0.62,0.008,0.04,0.015,13.5,10.865152,0.6656647
78,8077137,6072,6.23,68.8,75,0.64,0.1,39.0,0.5,-0.09,1.23,0.01,0.049,0.009,4.056,1.117,1.632,1324.0,K,0.56,0.013,0.04,0.018,7.7,11.288569,0.70933723
79,8292840,6239,3.85,92.85,94,0.35,0.1,37.0,0.5,-0.14,0.75,0.008,0.049,0.018,4.24,1.148,1.345,1983.0,K,0.81,0.008,0.051,0.015,10.4,10.454015,0.65677834
80,8349582,5699,8.03,83.6,74,1.4,0.1,90.0,0.5,0.3,0.7,0.004,0.019,0.009,4.163,1.068,1.417,1677.0,K,0.8,0.003,0.021,0.012,2.3,12.304376,0.8942957
81,8478994,5417,5.35,178.7,75,1.4,0.07,50.0,0.0,-0.32,1.01,0.002,0.011,0.006,4.57,0.81,0.772,4660.0,K,0.91,0.003,0.019,0.003,0.0,9.549876,0.93386936
82,8494142,6144,2.62,61.8,106,0.76,0.1,81.0,0.5,0.13,0.24,0.005,0.019,0.012,4.038,1.418,1.887,1133.0,K,0.26,0.005,0.03,0.012,8.9,11.874623,0.74089336
83,8554498,5945,5.6,61.98,60,0.96,0.05,76.0,0.5,0.17,0.42,0.003,0.029,0.015,4.007,1.197,1.794,1153.0,K,0.45,0.003,0.021,0.015,10.3,11.596043,0.82433605
84,8866102,6325,2.6,94.5,75,0.6,0.1,32.0,0.5,0.01,0.53,0.008,0.04,0.015,4.262,1.228,1.357,2014.0,K,0.56,0.007,0.042,0.012,15.0,9.374802,0.6507549
85,9592705,6174,2.33,53.54,92,0.32,0.1,21.0,0.5,0.22,0.16,0.003,0.021,0.012,3.961,1.509,2.124,1008.0,K,0.18,0.004,0.029,0.015,9.4,10.966326,0.74557877
86,10514430,5784,7.84,70.0,98,1.0,0.11,30.0,0.6,-0.11,0.91,0.004,0.021,0.018,4.061,1.059,1.59,1303.0,K,0.4,0.004,0.04,0.015,2.7,10.771047,0.79824734
87,10586004,5770,6.43,69.2,83,1.4,0.1,40.0,0.5,0.29,0.61,0.005,0.03,0.012,4.071,1.178,1.653,1395.0,K,0.64,0.005,0.021,0.009,3.4,11.64366,0.8412609
88,10666592,6350,2.11,59.22,80,0.59,0.08,110.0,0.5,0.26,0.24,0.009,0.04,0.015,4.017,1.497,1.986,1115.0,K,0.29,0.007,0.042,0.018,3.8,10.3654175,0.64158916
89,11133306,5982,5.14,107.9,82,1.9,0.1,95.0,0.5,-0.02,0.88,0.007,0.03,0.012,4.314,1.059,1.189,2381.0,K,0.86,0.004,0.04,0.012,2.8,11.783586,0.77028847
90,11295426,5793,6.31,101.57,74,0.1,0.07,13.0,0.5,0.12,0.34,0.003,0.019,0.006,4.28,1.068,1.237,2154.0,K,0.32,0.003,0.011,0.006,0.5,9.933549,0.8083792
91,11401755,5911,7.1,67.9,66,1.2,0.06,44.0,1.0,-0.2,0.59,0.004,0.021,0.021,4.039,1.059,1.632,1250.0,K,0.61,0.004,0.03,0.015,4.9,12.076706,0.74852943
92,11807274,6225,3.59,75.71,75,0.31,0.08,56.0,0.5,0.0,0.45,0.009,0.04,0.021,4.135,1.239,1.582,1496.0,K,0.78,0.007,0.04,0.015,10.3,10.3621435,0.6872835
93,11853905,5781,6.71,74.4,76,1.1,0.1,42.0,0.5,0.09,0.67,0.004,0.029,0.012,4.102,1.117,1.555,1436.0,K,0.77,0.005,0.021,0.012,2.3,12.1576605,0.82140255
94,11904151,5647,10.23,118.2,74,0.2,0.1,280.0,0.5,-0.15,0.67,0.003,0.019,0.009,4.344,0.918,1.066,2730.0,K,0.83,0.003,0.011,0.006,0.5,10.919079,0.84401894
